th   par   nrr   aver
0.279  0.974333  0.959333  0.966833
0.28  0.973667  0.96  0.966833
0.281  0.973333  0.960333  0.966833
0.282  0.973333  0.961  0.967167
0.283  0.973333  0.961333  0.967333
0.284  0.973  0.962  0.9675
0.285  0.972667  0.962  0.967333
0.286  0.972667  0.962333  0.9675
0.287  0.972667  0.962667  0.967667
0.288  0.972  0.963  0.9675
0.289  0.971667  0.963333  0.9675
0.29  0.971333  0.963333  0.967333
0.291  0.971  0.963333  0.967167
0.292  0.970667  0.963333  0.967
0.293  0.970333  0.963333  0.966833
0.294  0.969667  0.964  0.966833
0.295  0.969333  0.965  0.967167
0.296  0.968333  0.966333  0.967333
0.297  0.968333  0.967  0.967667
0.298  0.968333  0.967333  0.967833
0.299  0.967667  0.968333  0.968
0.3  0.967333  0.969  0.968167
0.301  0.967333  0.969667  0.9685
0.302  0.966667  0.970333  0.9685
0.303  0.966333  0.971333  0.968833
0.304  0.966  0.971667  0.968833
0.305  0.965333  0.972  0.968667
0.306  0.965  0.972333  0.968667
0.307  0.964667  0.972333  0.9685
0.308  0.964  0.972333  0.968167
0.309  0.962667  0.973  0.967833
0.31  0.962667  0.973  0.967833
0.311  0.962667  0.973  0.967833
0.312  0.962667  0.974  0.968333
0.313  0.962667  0.974667  0.968667
0.314  0.961333  0.975667  0.9685
0.315  0.961  0.976  0.9685
0.316  0.960667  0.976  0.968333
0.317  0.960667  0.976667  0.968667
0.318  0.960667  0.977  0.968833
0.319  0.960333  0.977  0.968667
0.32  0.960333  0.977333  0.968833
0.321  0.960333  0.977333  0.968833
0.322  0.959667  0.977333  0.9685
0.323  0.959  0.978  0.9685
0.324  0.958667  0.978  0.968333
0.325  0.958  0.978  0.968
0.326  0.958  0.978667  0.968333
0.327  0.958  0.979333  0.968667
0.328  0.957667  0.979667  0.968667
0.329  0.957333  0.98  0.968667
0.33  0.957  0.98  0.9685
0.331  0.957  0.98  0.9685
0.332  0.956  0.980333  0.968167
0.333  0.955333  0.980667  0.968
0.334  0.954667  0.981  0.967833
0.335  0.954333  0.981  0.967667
0.336  0.954  0.981333  0.967667
0.337  0.954  0.981667  0.967833
0.338  0.953667  0.981667  0.967667
0.339  0.953333  0.982  0.967667
0.34  0.953  0.982333  0.967667
0.341  0.952667  0.982333  0.9675
0.342  0.952  0.982667  0.967333
0.343  0.951667  0.983333  0.9675
0.344  0.951  0.983333  0.967167
0.345  0.950333  0.983333  0.966833
0.346  0.949667  0.984  0.966833
0.347  0.949333  0.984667  0.967
0.348  0.949  0.984667  0.966833
0.349  0.949  0.984667  0.966833
0.35  0.948667  0.984667  0.966667
0.351  0.948667  0.985  0.966833
0.352  0.948667  0.986333  0.9675
0.353  0.947667  0.987  0.967333
0.354  0.946667  0.987667  0.967167
0.355  0.946333  0.987667  0.967
0.356  0.946  0.988  0.967
0.357  0.945333  0.988  0.966667
0.358  0.945333  0.988  0.966667
0.359  0.945  0.988  0.9665
0.36  0.944667  0.988  0.966333
0.361  0.944333  0.988  0.966167
0.362  0.944  0.988  0.966
0.363  0.943667  0.988  0.965833
0.364  0.942667  0.988333  0.9655
0.365  0.942667  0.988667  0.965667
0.366  0.942333  0.988667  0.9655
0.367  0.942  0.989333  0.965667
0.368  0.942  0.989333  0.965667
0.369  0.941333  0.989333  0.965333
0.37  0.941  0.989667  0.965333
